launch_id,date,year,month,rocket,launch_site,country,operator,mission_type,orbit,payload_mass_kg,n_payloads,launch_success,failure_mode,crewed,crew_size,booster_reused,launch_cost_m_usd,rocket_era,rocket_type
SL002200,2006-06-04,2006,6,Atlas-Centaur,Kennedy Space Center LC-39A,USA,GD,Commercial Satellite,GEO,1091,1,1,,0,0,0,,Cold War,orbital
SL002201,1970-10-17,1970,10,Cyclone-2,Kapustin Yar,USSR,Yuzhnoye,Earth Observation,HEO,233,1,1,,0,0,0,,Cold War,orbital
SL002202,2023-01-04,2023,1,Atlas V,Mahia Peninsula LC-1,USA,ULA,Lunar,TLI,1692,1,1,,0,0,0,141.4,Modern,orbital
SL002203,2021-01-19,2021,1,Angara-A5,Plesetsk Cosmodrome,Russia,Khrunichev,Defense/Intelligence,GEO,5113,1,1,,0,0,0,101.4,Modern,orbital
SL002204,1974-09-27,1974,9,Cyclone-2,Baikonur Cosmodrome,USSR,Yuzhnoye,Communications,GEO,424,1,1,,0,0,0,,Cold War,orbital
SL002205,1982-10-19,1982,10,Proton-K,Kapustin Yar,USSR,Khrunichev,IoT/Cubesat,SSO,733,1,1,,0,0,0,,Cold War,orbital
SL002206,1998-01-15,1998,1,Rokot,Baikonur Cosmodrome,Russia,Khrunichev,Human Spaceflight,ISS,334,1,1,,1,5,0,33.7,Post-Soviet,orbital
SL002207,2011-09-23,2011,9,Long March 2F,Jiuquan Satellite Launch,China,CASC,Weather,LEO,703,1,1,,0,0,0,,Modern,crewed
SL002208,1988-07-09,1988,7,Soyuz-U,Kapustin Yar,USSR,TsSKB,Rideshare,SSO,1767,1,1,,0,0,0,33.3,Cold War,orbital
SL002209,1972-03-02,1972,3,Cosmos-3M,Plesetsk Cosmodrome,USSR,PO Polyot,Scientific,SSO,285,1,1,,0,0,0,,Cold War,orbital
SL002210,1969-02-06,1969,2,Soyuz 11A511,Kapustin Yar,USSR,OKB-1,Communications,GTO,3442,1,1,,0,0,0,,Cold War,orbital
SL002211,2024-02-16,2024,2,Antares,Cape Canaveral SLC-41,USA,Northrop,Earth Observation,GEO,1100,1,1,,0,0,0,75.2,Modern,orbital
SL002212,1989-11-26,1989,11,Soyuz 11A511,Plesetsk Cosmodrome,USSR,OKB-1,Weather,GTO,976,1,1,,0,0,0,,Cold War,orbital
SL002213,2020-04-11,2020,4,Pegasus XL,SpaceX Starbase (Boca Chica),USA,Orbital Sciences,Space Station Resupply,ISS,66,1,1,,0,0,0,30.7,Post-Cold War,air-launch
SL002214,1991-07-04,1991,7,Shavit,Mahia Peninsula LC-1,Other,IAI,Communications,GTO,15,1,0,upper stage failure,0,0,0,,Modern,orbital
SL002215,2022-08-13,2022,8,Falcon Heavy,Cape Canaveral SLC-41,USA,SpaceX,Space Station Resupply,ISS,20929,1,1,,0,0,1,83.0,New Space,orbital
SL002216,1968-01-25,1968,1,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Defense/Intelligence,GEO,2299,1,1,,0,0,0,,Cold War,orbital
SL002217,1969-09-27,1969,9,Cosmos-3M,Baikonur Cosmodrome,USSR,PO Polyot,Defense/Intelligence,LEO,184,1,1,,0,0,0,,Cold War,orbital
SL002218,2023-08-09,2023,8,Pegasus XL,Kennedy Space Center LC-39A,USA,Orbital Sciences,Astronomy,SSO,99,1,1,,0,0,0,43.6,Post-Cold War,air-launch
SL002219,2023-11-17,2023,11,Kuaizhou-1A,Wenchang Space Launch,China,CASIC,Communications,GEO,54,1,1,,0,0,0,5.1,New Space,small-sat
SL002220,1982-12-02,1982,12,Cyclone-2,Kapustin Yar,USSR,Yuzhnoye,Technology Demonstration,LEO,289,1,1,,0,0,0,,Cold War,orbital
SL002221,1984-10-24,1984,10,Cyclone-2,Kapustin Yar,USSR,Yuzhnoye,Weather,SSO,413,1,1,,0,0,0,,Cold War,orbital
SL002222,1989-10-20,1989,10,Cyclone-2,Baikonur Cosmodrome,USSR,Yuzhnoye,Commercial Satellite,GTO,762,1,1,,0,0,0,,Cold War,orbital
SL002223,1987-06-25,1987,6,Soyuz-U,Kapustin Yar,USSR,TsSKB,Navigation/GPS,MEO,3417,1,1,,0,0,0,35.2,Cold War,orbital
SL002224,1974-03-23,1974,3,Juno I,Kennedy Space Center LC-39A,USA,Army,Defense/Intelligence,GEO,1,1,0,structural failure,0,0,0,,Cold War,orbital
SL002225,2022-08-09,2022,8,Delta IV Medium,SpaceX Starbase (Boca Chica),USA,Boeing,Technology Demonstration,LEO,2287,1,1,,0,0,0,175.9,Modern,orbital
SL002226,1978-08-23,1978,8,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Earth Observation,SSO,100,1,0,engine failure,0,0,0,,Cold War,orbital
SL002227,2010-01-22,2010,1,Long March 1,Xichang Satellite Launch,China,CASC,Communications,GEO,58,1,1,,0,0,0,,Cold War,orbital
SL002228,1966-03-27,1966,3,Vanguard,SpaceX Starbase (Boca Chica),USA,NRL,Earth Observation,GEO,3,1,1,,0,0,0,,Cold War,orbital
SL002229,1964-06-05,1964,6,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Scientific,GTO,95,1,0,engine failure,0,0,0,,Cold War,orbital
SL002230,2005-01-08,2005,1,Rokot,Baikonur Cosmodrome,Russia,Khrunichev,Space Telescope,SSO,351,1,1,,0,0,0,43.7,Post-Soviet,orbital
SL002231,1983-03-19,1983,3,Soyuz 11A511,Kapustin Yar,USSR,OKB-1,IoT/Cubesat,SSO,1710,1,1,,0,0,0,,Cold War,orbital
SL002232,2005-05-07,2005,5,Long March 3B,Xichang Satellite Launch,China,CASC,Military Reconnaissance,GEO,5325,1,1,,0,0,0,70.3,Modern,orbital
SL002233,1968-03-10,1968,3,Soyuz 11A511,Plesetsk Cosmodrome,USSR,OKB-1,Communications,LEO,3442,1,1,,0,0,0,,Cold War,orbital
SL002234,2023-03-01,2023,3,Long March 1,Taiyuan Satellite Launch,China,CASC,Military Reconnaissance,LEO,84,1,1,,0,0,0,,Cold War,orbital
SL002235,2013-11-07,2013,11,Ariane 4,Wenchang Space Launch,Other,Arianespace,Space Telescope,SSO,2192,1,1,,0,0,0,,Post-Cold War,orbital
SL002236,2021-04-10,2021,4,Proton-M,Kapustin Yar Site 86,Other,Khrunichev,Scientific,LEO,3400,1,1,,0,0,0,92.1,Modern,orbital
SL002237,1971-06-06,1971,6,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Communications,GEO,1772,1,0,engine failure,0,0,0,,Cold War,orbital
SL002238,1982-03-10,1982,3,Proton-K,Plesetsk Cosmodrome,USSR,Khrunichev,Interplanetary,TLI,2492,1,1,,0,0,0,,Cold War,orbital
SL002239,1984-04-05,1984,4,Titan II GLV,Vandenberg SFB SLC-4E,USA,USAF,Weather,GEO,561,1,1,,0,0,0,,Cold War,orbital
SL002240,1994-12-11,1994,12,Long March 1,Wenchang Space Launch,China,CASC,Communications,GEO,52,1,1,,0,0,0,,Cold War,orbital
SL002241,1981-11-05,1981,11,Proton-K,Plesetsk Cosmodrome,USSR,Khrunichev,Technology Demonstration,SSO,4184,1,1,,0,0,0,,Cold War,orbital
SL002242,1966-10-17,1966,10,Soyuz 11A511,Plesetsk Cosmodrome,USSR,OKB-1,Earth Observation,LEO,1606,1,1,,0,0,0,,Cold War,orbital
SL002243,1984-06-07,1984,6,Saturn V,SpaceX Starbase (Boca Chica),USA,NASA,Human Spaceflight,ISS,57551,1,1,,1,2,0,,Cold War,orbital
SL002244,1978-06-09,1978,6,Cyclone-2,Baikonur Cosmodrome,USSR,Yuzhnoye,Defense/Intelligence,GEO,633,1,1,,0,0,0,,Cold War,orbital
SL002245,1985-11-05,1985,11,Vanguard,SpaceX Starbase (Boca Chica),USA,NRL,IoT/Cubesat,SSO,4,1,1,,0,0,0,,Cold War,orbital
SL002246,1974-02-20,1974,2,Diamant,Kourou ELS (Vega),Europe,CNES,Earth Observation,GTO,20,1,1,,0,0,0,,Cold War,orbital
SL002247,1979-03-21,1979,3,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Defense/Intelligence,LEO,1971,1,1,,0,0,0,,Cold War,orbital
SL002248,2002-04-17,2002,4,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Astronomy,LEO,3717,1,1,,0,0,0,119.9,Modern,orbital
SL002249,1985-04-25,1985,4,Titan III,Cape Canaveral SLC-41,USA,USAF,Space Station Resupply,LEO,2581,1,1,,0,0,0,,Cold War,orbital
SL002250,1983-01-24,1983,1,Soyuz-U,Kapustin Yar,USSR,TsSKB,IoT/Cubesat,SSO,3024,1,1,,0,0,0,35.9,Cold War,orbital
SL002251,1994-02-28,1994,2,Taurus,Wallops Flight Facility,USA,Orbital Sciences,Space Station Module,ISS,386,1,1,,0,0,0,46.9,Post-Cold War,orbital
SL002252,2015-10-01,2015,10,Antares,Cape Canaveral SLC-40,USA,Northrop,Lunar,TLI,1672,1,1,,0,0,0,67.8,Modern,orbital
SL002253,1985-01-19,1985,1,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Communications,GEO,61,1,0,range safety,0,0,0,,Cold War,orbital
SL002254,1998-05-03,1998,5,Titan IV,Vandenberg SFB SLC-4E,USA,Lockheed,Space Station Resupply,ISS,4927,1,1,,0,0,0,388.0,Post-Cold War,orbital
SL002255,2024-05-25,2024,5,Falcon 9 v1.0,Wallops Flight Facility,USA,SpaceX,Space Station Module,LEO,2610,1,1,,0,0,0,63.7,New Space,orbital
SL002256,1993-04-10,1993,4,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Space Station Resupply,LEO,3136,1,1,,0,0,0,135.2,Modern,orbital
SL002257,2022-02-07,2022,2,Long March 11,Wenchang Space Launch,China,CASC,Lunar,Interplanetary,136,1,1,,0,0,0,12.8,Modern,small-sat
SL002258,2016-07-22,2016,7,Long March 4B,Xichang Satellite Launch,China,CASC,Earth Observation,HEO,454,1,1,,0,0,0,25.5,Modern,orbital
SL002259,1966-01-19,1966,1,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Earth Observation,SSO,61,1,1,,0,0,0,,Cold War,orbital
SL002260,1988-07-28,1988,7,Ariane 1,Kourou ELS (Vega),Europe,CNES,Technology Demonstration,LEO,240,1,1,,0,0,0,,Cold War,orbital
SL002261,2009-01-19,2009,1,Ariane 4,Guiana Space Centre ELA-3,Europe,Arianespace,Defense/Intelligence,LEO,684,1,1,,0,0,0,,Post-Cold War,orbital
SL002262,2024-01-18,2024,1,Long March 2D,Jiuquan Satellite Launch,China,CASC,Communications,MEO,1033,1,1,,0,0,0,20.9,Modern,orbital
SL002263,1989-08-09,1989,8,Space Shuttle,Cape Canaveral SLC-41,USA,NASA,Lunar,TLI,5519,1,1,,0,0,0,1758.8,Cold War,orbital
SL002264,1968-12-01,1968,12,Vanguard,Cape Canaveral SLC-41,USA,NRL,Defense/Intelligence,SSO,4,1,1,,0,0,0,,Cold War,orbital
SL002265,1996-03-24,1996,3,Rokot,Baikonur Cosmodrome,Russia,Khrunichev,Space Station Resupply,LEO,855,1,1,,0,0,0,47.7,Post-Soviet,orbital
SL002266,1970-09-04,1970,9,Vostok-K,Plesetsk Cosmodrome,USSR,OKB-1,Communications,MEO,960,1,1,,0,0,0,,Cold War,orbital
SL002267,2013-01-06,2013,1,Sputnik (R-7),Naro Space Center,Other,OKB-1,Military Reconnaissance,LEO,91,1,1,,0,0,0,,Cold War,orbital
SL002268,1992-11-02,1992,11,Soyuz-ST,Svobodny / Vostochny,Russia,TsSKB,IoT/Cubesat,SSO,2481,1,1,,0,0,0,64.7,Modern,orbital
SL002269,2011-12-28,2011,12,Soyuz-2.1a,Plesetsk Cosmodrome,Russia,TsSKB,Navigation/GPS,MEO,2999,1,1,,0,0,0,37.1,Modern,orbital
SL002270,2020-05-19,2020,5,Long March 2C,Taiyuan Satellite Launch,China,CASC,Space Station Resupply,LEO,1310,1,1,,0,0,0,19.6,Modern,orbital
SL002271,2002-08-18,2002,8,Rokot,Svobodny / Vostochny,Russia,Khrunichev,Scientific,LEO,439,1,0,engine failure,0,0,0,40.3,Post-Soviet,orbital
SL002272,2000-06-21,2000,6,Long March 3B,Jiuquan Satellite Launch,China,CASC,Defense/Intelligence,LEO,3094,1,1,,0,0,0,71.2,Modern,orbital
SL002273,2013-06-02,2013,6,Soyuz-FG,Plesetsk Cosmodrome,Russia,TsSKB,Rideshare,LEO,2057,1,1,,0,0,0,86.6,Modern,orbital
SL002274,2019-06-25,2019,6,Falcon 1,Wallops Flight Facility,USA,SpaceX,Rideshare,SSO,180,4,1,,0,0,0,9.2,New Space,orbital
SL002275,2020-04-27,2020,4,Delta IV Medium,Mahia Peninsula LC-1,USA,Boeing,IoT/Cubesat,LEO,3103,6,1,,0,0,0,160.0,Modern,orbital
SL002276,1964-06-18,1964,6,Atlas-Centaur,Kennedy Space Center LC-39A,USA,GD,Scientific,SSO,2245,1,1,,0,0,0,,Cold War,orbital
SL002277,1996-02-15,1996,2,Ariane 5 ECA,Kourou ELA-4 (Ariane 6),Europe,Arianespace,Space Station Module,LEO,3614,1,1,,0,0,0,190.4,Modern,orbital
SL002278,1976-05-18,1976,5,Soyuz 11A511,Baikonur Cosmodrome,USSR,OKB-1,Navigation/GPS,MEO,1225,1,1,,0,0,0,,Cold War,orbital
SL002279,2020-02-18,2020,2,Saturn IB,Kennedy Space Center LC-39A,USA,NASA,Navigation/GPS,MEO,2302,1,1,,0,0,0,,Cold War,orbital
SL002280,2004-01-19,2004,1,GSLV Mk II,Satish Dhawan Space Centre,India,ISRO,Human Spaceflight,LEO,1171,1,1,,1,6,0,55.5,Modern,orbital
SL002281,1987-10-01,1987,10,Proton-K,Plesetsk Cosmodrome,USSR,Khrunichev,Navigation/GPS,MEO,8936,1,1,,0,0,0,,Cold War,orbital
SL002282,1974-12-08,1974,12,Jupiter-C,Wallops Flight Facility,USA,Army,Communications,GEO,3,1,1,,0,0,0,,Cold War,suborbital
SL002283,1983-05-07,1983,5,Cyclone-2,Baikonur Cosmodrome,USSR,Yuzhnoye,Weather,LEO,526,1,1,,0,0,0,,Cold War,orbital
SL002284,2010-09-26,2010,9,Rokot,Baikonur Cosmodrome,Russia,Khrunichev,Space Station Resupply,ISS,519,1,1,,0,0,0,37.5,Post-Soviet,orbital
SL002285,1975-07-10,1975,7,Saturn V,Kennedy Space Center LC-39A,USA,NASA,Earth Observation,GTO,29937,1,1,,0,0,0,,Cold War,orbital
SL002286,1968-08-03,1968,8,Proton-K,Kapustin Yar,USSR,Khrunichev,Navigation/GPS,MEO,8249,1,1,,0,0,0,,Cold War,orbital
SL002287,2021-04-28,2021,4,Pegasus XL,Vandenberg SFB SLC-4E,USA,Orbital Sciences,Navigation/GPS,MEO,31,1,1,,0,0,0,34.9,Post-Cold War,air-launch
SL002288,2014-01-05,2014,1,Pegasus XL,Cape Canaveral SLC-41,USA,Orbital Sciences,Communications,LEO,160,1,1,,0,0,0,50.5,Post-Cold War,air-launch
SL002289,1975-08-20,1975,8,Titan III,Cape Canaveral SLC-40,USA,USAF,Scientific,SSO,1586,1,1,,0,0,0,,Cold War,orbital
SL002290,1980-03-18,1980,3,Saturn IB,Mahia Peninsula LC-1,USA,NASA,Interplanetary,Interplanetary,7291,1,1,,0,0,0,,Cold War,orbital
SL002291,2024-08-11,2024,8,Delta IV Heavy,Mahia Peninsula LC-1,USA,ULA,Military Reconnaissance,GEO,5011,1,1,,0,0,0,271.9,Modern,orbital
SL002292,2010-12-17,2010,12,Long March 4B,Taiyuan Satellite Launch,China,CASC,Astronomy,LEO,943,1,1,,0,0,0,25.7,Modern,orbital
SL002293,2000-01-05,2000,1,Space Shuttle,Kennedy Space Center LC-39A,USA,NASA,Navigation/GPS,MEO,7954,1,1,,0,0,0,1752.3,Cold War,orbital
SL002294,1981-10-12,1981,10,Scout,Wallops Flight Facility,USA,LTV,Lunar,Interplanetary,43,1,1,,0,0,0,,Cold War,orbital
SL002295,1981-10-14,1981,10,Soyuz 11A511,Plesetsk Cosmodrome,USSR,OKB-1,Rideshare,LEO,1195,1,1,,0,0,0,,Cold War,orbital
SL002296,1964-09-03,1964,9,Atlas-Centaur,Cape Canaveral SLC-41,USA,GD,Scientific,SSO,1071,1,1,,0,0,0,,Cold War,orbital
SL002297,2011-01-23,2011,1,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Scientific,LEO,2216,1,1,,0,0,0,102.0,Modern,orbital
SL002298,1965-12-15,1965,12,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Scientific,SSO,63,1,1,,0,0,0,,Cold War,orbital
SL002299,1960-09-25,1960,9,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Human Spaceflight,ISS,75,1,0,fairing failure,1,4,0,,Cold War,orbital
SL002300,2011-08-05,2011,8,Soyuz-2.1a,Svobodny / Vostochny,Russia,TsSKB,Astronomy,LEO,1828,1,1,,0,0,0,51.9,Modern,orbital
SL002301,2023-01-23,2023,1,Zhuque-2,Xichang Satellite Launch,China,LandSpace,Communications,LEO,1561,1,0,structural failure,0,0,0,,New Space,commercial
SL002302,2013-04-27,2013,4,Long March 1,Xichang Satellite Launch,China,CASC,Interplanetary,Interplanetary,105,1,0,range safety,0,0,0,,Cold War,orbital
SL002303,1990-11-03,1990,11,Long March 1,Xichang Satellite Launch,China,CASC,Space Station Resupply,ISS,22,1,0,engine failure,0,0,0,,Cold War,orbital
SL002304,1991-01-22,1991,1,Proton-M,Plesetsk Cosmodrome,Russia,Khrunichev,Military Reconnaissance,SSO,7211,1,1,,0,0,0,77.6,Modern,orbital
SL002305,1988-02-15,1988,2,Cosmos-3M,Plesetsk Cosmodrome,USSR,PO Polyot,Military Reconnaissance,LEO,124,1,1,,0,0,0,,Cold War,orbital
SL002306,1982-08-10,1982,8,Jupiter-C,Vandenberg SFB SLC-4E,USA,Army,Scientific,LEO,3,1,1,,0,0,0,,Cold War,suborbital
SL002307,1993-08-10,1993,8,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Military Reconnaissance,GEO,12,1,1,,0,0,0,,Cold War,orbital
SL002308,1988-02-05,1988,2,Vostok-K,Kapustin Yar,USSR,OKB-1,Space Station Resupply,ISS,1100,1,1,,0,0,0,,Cold War,orbital
SL002309,1999-03-07,1999,3,Taurus,Vandenberg SFB SLC-4E,USA,Orbital Sciences,Communications,GTO,88,1,1,,0,0,0,30.3,Post-Cold War,orbital
SL002310,2022-11-05,2022,11,Long March 11,Taiyuan Satellite Launch,China,CASC,Rideshare,SSO,309,32,1,,0,0,0,8.9,Modern,small-sat
SL002311,2024-05-13,2024,5,Vulcan Centaur,Mahia Peninsula LC-1,USA,ULA,Weather,GTO,8927,1,1,,0,0,0,92.4,New Space,orbital
SL002312,1967-08-10,1967,8,Thor-Delta,SpaceX Starbase (Boca Chica),USA,NASA,Navigation/GPS,MEO,63,1,0,upper stage failure,0,0,0,,Cold War,orbital
SL002313,1985-03-22,1985,3,Diamant,Kourou ELA-4 (Ariane 6),Europe,CNES,Space Station Module,ISS,13,1,1,,0,0,0,,Cold War,orbital
SL002314,1973-02-10,1973,2,Thor-Delta,Cape Canaveral SLC-41,USA,NASA,Earth Observation,LEO,49,1,1,,0,0,0,,Cold War,orbital
SL002315,1984-05-07,1984,5,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Technology Demonstration,LEO,190,1,1,,0,0,0,,Cold War,orbital
SL002316,1980-09-03,1980,9,Cyclone-2,Kapustin Yar,USSR,Yuzhnoye,Communications,GTO,543,1,1,,0,0,0,,Cold War,orbital
SL002317,1973-03-13,1973,3,Soyuz-U,Kapustin Yar,USSR,TsSKB,Defense/Intelligence,LEO,1338,1,1,,0,0,0,38.9,Cold War,orbital
SL002318,2014-08-02,2014,8,Soyuz-2.1b,Plesetsk Cosmodrome,Russia,TsSKB,Lunar,Interplanetary,2553,1,1,,0,0,0,57.7,Modern,orbital
SL002319,1992-11-16,1992,11,Long March 2D,Wenchang Space Launch,Other,CASC,Weather,GTO,711,1,1,,0,0,0,20.9,Modern,orbital
SL002320,2022-05-28,2022,5,Long March 2D,Jiuquan Satellite Launch,China,CASC,Technology Demonstration,SSO,781,1,1,,0,0,0,19.6,Modern,orbital
SL002321,1963-03-27,1963,3,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Scientific,SSO,112,1,1,,0,0,0,,Cold War,orbital
SL002322,1966-01-01,1966,1,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Defense/Intelligence,LEO,70,1,1,,0,0,0,,Cold War,orbital
SL002323,1986-04-16,1986,4,Vanguard,Wallops Flight Facility,USA,NRL,Military Reconnaissance,LEO,2,1,0,engine failure,0,0,0,,Cold War,orbital
SL002324,1967-04-28,1967,4,Soyuz 11A511,Plesetsk Cosmodrome,USSR,OKB-1,Defense/Intelligence,LEO,1410,1,0,engine failure,0,0,0,,Cold War,orbital
SL002325,1979-06-10,1979,6,Diamant,Kourou ELS (Vega),Europe,CNES,Defense/Intelligence,SSO,28,1,1,,0,0,0,,Cold War,orbital
SL002326,2024-12-10,2024,12,Minotaur I,Vandenberg SFB SLC-4E,USA,Orbital ATK,Scientific,LEO,172,1,1,,0,0,0,43.4,Modern,orbital
SL002327,1975-02-22,1975,2,Voskhod,Kapustin Yar,USSR,OKB-1,Earth Observation,GTO,692,1,1,,0,0,0,,Cold War,orbital
SL002328,1975-03-22,1975,3,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Defense/Intelligence,LEO,890,1,1,,0,0,0,,Cold War,orbital
SL002329,1997-10-16,1997,10,Rokot,Plesetsk Cosmodrome,Russia,Khrunichev,Space Station Module,LEO,525,1,1,,0,0,0,41.3,Post-Soviet,orbital
SL002330,1992-03-13,1992,3,Jupiter-C,Kennedy Space Center LC-39A,USA,Army,IoT/Cubesat,SSO,2,1,1,,0,0,0,,Cold War,suborbital
SL002331,1998-01-01,1998,1,Thor-Delta,SpaceX Starbase (Boca Chica),USA,NASA,Space Station Resupply,ISS,61,1,1,,0,0,0,,Cold War,orbital
SL002332,1985-09-15,1985,9,Vostok-K,Plesetsk Cosmodrome,USSR,OKB-1,Technology Demonstration,LEO,552,1,1,,0,0,0,,Cold War,orbital
SL002333,2018-05-04,2018,5,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Human Spaceflight,LEO,3796,1,1,,1,2,0,100.3,Modern,orbital
SL002334,1971-03-24,1971,3,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Defense/Intelligence,GTO,944,1,0,engine failure,0,0,0,,Cold War,orbital
SL002335,1987-09-04,1987,9,Soyuz-U,Kapustin Yar,USSR,TsSKB,Space Telescope,LEO,1385,1,1,,0,0,0,37.1,Cold War,orbital
SL002336,2008-02-08,2008,2,Falcon 1,Mahia Peninsula LC-1,USA,SpaceX,Weather,LEO,77,1,1,,0,0,0,7.7,New Space,orbital
SL002337,2020-11-18,2020,11,Long March 11,Taiyuan Satellite Launch,China,CASC,Earth Observation,GEO,158,1,1,,0,0,0,7.8,Modern,small-sat
SL002338,1984-05-01,1984,5,Ariane 1,Xichang Satellite Launch,Other,CNES,Weather,GEO,442,1,0,structural failure,0,0,0,,Cold War,orbital
SL002339,1997-11-04,1997,11,PSLV,Naro Space Center,Other,ISRO,Military Reconnaissance,SSO,352,1,1,,0,0,0,24.8,Modern,orbital
SL002340,1966-09-09,1966,9,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Scientific,GEO,1056,1,1,,0,0,0,,Cold War,orbital
SL002341,1973-08-18,1973,8,Proton-K,Plesetsk Cosmodrome,USSR,Khrunichev,Defense/Intelligence,GEO,4230,1,1,,0,0,0,,Cold War,orbital
SL002342,1966-07-12,1966,7,Voskhod,Kapustin Yar,USSR,OKB-1,Human Spaceflight,LEO,1309,1,1,,1,2,0,,Cold War,orbital
SL002343,2011-06-17,2011,6,Ariane 5 ECA,Guiana Space Centre ELA-3,Europe,Arianespace,Interplanetary,TLI,4032,1,1,,0,0,0,195.5,Modern,orbital
SL002344,1980-04-16,1980,4,Vanguard,Mahia Peninsula LC-1,USA,NRL,Earth Observation,LEO,1,1,0,engine failure,0,0,0,,Cold War,orbital
SL002345,2011-10-18,2011,10,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Commercial Satellite,GTO,9,1,0,upper stage failure,0,0,0,,Cold War,orbital
SL002346,1966-09-10,1966,9,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Navigation/GPS,MEO,338,1,0,fairing failure,0,0,0,,Cold War,orbital
SL002347,2020-05-19,2020,5,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Space Station Resupply,ISS,12,1,1,,0,0,0,,Cold War,orbital
SL002348,2019-05-07,2019,5,Atlas V,Mahia Peninsula LC-1,USA,ULA,Weather,HEO,2158,1,1,,0,0,0,236.2,Modern,orbital
SL002349,1968-06-11,1968,6,Juno I,Kennedy Space Center LC-39A,USA,Army,Navigation/GPS,GEO,2,1,1,,0,0,0,,Cold War,orbital
SL002350,1962-09-22,1962,9,Vostok-K,Kapustin Yar,USSR,OKB-1,Scientific,HEO,853,1,0,engine failure,0,0,0,,Cold War,orbital
SL002351,1965-06-09,1965,6,Thor-Delta,Mahia Peninsula LC-1,USA,NASA,Scientific,GEO,49,1,1,,0,0,0,,Cold War,orbital
SL002352,2020-03-08,2020,3,Ariane 4,Kourou ELS (Vega),Europe,Arianespace,Space Station Module,LEO,1625,1,1,,0,0,0,,Post-Cold War,orbital
SL002353,1977-09-14,1977,9,Titan III,Vandenberg SFB SLC-4E,USA,USAF,Scientific,GEO,6486,1,1,,0,0,0,,Cold War,orbital
SL002354,1995-10-11,1995,10,Ariane 1,Guiana Space Centre ELA-3,Europe,CNES,Defense/Intelligence,GTO,279,1,1,,0,0,0,,Cold War,orbital
SL002355,1987-10-14,1987,10,Saturn IB,Cape Canaveral SLC-40,USA,NASA,IoT/Cubesat,SSO,3177,1,1,,0,0,0,,Cold War,orbital
SL002356,2016-08-08,2016,8,Long March 7,Wenchang Space Launch,China,CASC,Lunar,Interplanetary,2235,1,0,structural failure,0,0,0,89.0,Modern,orbital
SL002357,1991-05-12,1991,5,Atlas-Centaur,SpaceX Starbase (Boca Chica),USA,GD,Lunar,TLI,1170,1,1,,0,0,0,,Cold War,orbital
SL002358,1992-02-18,1992,2,Angara-A5,Plesetsk Cosmodrome,Russia,Khrunichev,Astronomy,LEO,3144,1,1,,0,0,0,112.6,Modern,orbital
SL002359,2024-01-28,2024,1,Firefly Alpha,Wallops Flight Facility,USA,Firefly,Commercial Satellite,GEO,139,2,0,engine failure,0,0,0,16.2,New Space,small-sat
SL002360,1972-10-13,1972,10,Diamant,Kourou ELA-4 (Ariane 6),Europe,CNES,Earth Observation,LEO,22,1,0,upper stage failure,0,0,0,,Cold War,orbital
SL002361,2018-08-22,2018,8,Long March 1,Wenchang Space Launch,China,CASC,Military Reconnaissance,GEO,21,1,1,,0,0,0,,Cold War,orbital
SL002362,1965-01-08,1965,1,Scout,Cape Canaveral SLC-41,USA,LTV,Scientific,LEO,11,1,1,,0,0,0,,Cold War,orbital
SL002363,1990-01-19,1990,1,Long March 1,Wenchang Space Launch,China,CASC,Scientific,GEO,62,1,1,,0,0,0,,Cold War,orbital
SL002364,2021-03-16,2021,3,Taurus,Cape Canaveral SLC-40,USA,Orbital Sciences,Commercial Satellite,LEO,403,4,1,,0,0,0,37.1,Post-Cold War,orbital
SL002365,2006-05-13,2006,5,Proton-M,Plesetsk Cosmodrome,Russia,Khrunichev,Commercial Satellite,GEO,2749,1,1,,0,0,0,100.7,Modern,orbital
SL002366,2008-03-18,2008,3,Soyuz-FG,Plesetsk Cosmodrome,Russia,TsSKB,Space Telescope,SSO,1711,1,1,,0,0,0,98.0,Modern,orbital
